expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-26,call,277.5,0.0,0.0,23.47,7.0,0,23.47,last_price_fallback
2026-06-26,call,280.0,0.0,0.0,17.5,186.0,0,17.5,last_price_fallback
2026-06-26,call,282.5,0.0,0.0,14.96,508.0,0,14.96,last_price_fallback
2026-06-26,call,285.0,0.0,0.0,12.85,305.0,0,12.85,last_price_fallback
2026-06-26,call,287.5,0.0,0.0,10.95,1201.0,0,10.95,last_price_fallback
2026-06-26,call,290.0,0.0,0.0,8.1,2453.0,0,8.1,last_price_fallback
2026-06-26,call,292.5,0.0,0.0,6.49,1172.0,0,6.49,last_price_fallback
2026-06-26,call,295.0,0.0,0.0,4.64,1840.0,0,4.64,last_price_fallback
2026-06-26,call,297.5,0.0,0.0,3.2,1427.0,0,3.2,last_price_fallback
2026-06-26,call,300.0,0.0,0.0,2.25,11869.0,0,2.25,last_price_fallback
2026-06-26,call,302.5,0.0,0.0,1.45,8105.0,0,1.45,last_price_fallback
2026-06-26,call,305.0,0.0,0.0,0.84,12785.0,0,0.84,last_price_fallback
2026-06-26,call,307.5,0.0,0.0,0.52,4461.0,0,0.52,last_price_fallback
2026-06-26,call,310.0,0.0,0.0,0.31,7089.0,0,0.31,last_price_fallback
2026-06-26,call,312.5,0.0,0.0,0.17,2304.0,0,0.17,last_price_fallback
2026-06-26,call,315.0,0.0,0.0,0.1,8081.0,0,0.1,last_price_fallback
2026-06-26,call,317.5,0.0,0.0,0.05,2517.0,0,0.05,last_price_fallback
2026-06-26,call,320.0,0.0,0.0,0.03,6277.0,0,0.03,last_price_fallback
2026-06-26,call,322.5,0.0,0.0,0.02,1204.0,0,0.02,last_price_fallback
2026-06-26,call,325.0,0.0,0.0,0.02,1227.0,0,0.02,last_price_fallback
2026-06-26,call,327.5,0.0,0.0,0.02,128.0,0,0.02,last_price_fallback
2026-06-26,call,330.0,0.0,0.0,0.01,292.0,0,0.01,last_price_fallback
2026-06-26,call,332.5,0.0,0.0,0.01,149.0,0,0.01,last_price_fallback
2026-06-26,call,335.0,0.0,0.0,0.01,218.0,0,0.01,last_price_fallback
2026-06-26,call,337.5,0.0,0.0,0.01,67.0,0,0.01,last_price_fallback
2026-06-26,call,340.0,0.0,0.0,0.01,12.0,0,0.01,last_price_fallback
2026-06-26,call,345.0,0.0,0.0,0.01,80.0,0,0.01,last_price_fallback
2026-06-26,call,350.0,0.0,0.0,0.1,10.0,0,0.1,last_price_fallback
2026-06-26,call,355.0,0.0,0.0,0.01,2.0,0,0.01,last_price_fallback
2026-06-26,call,360.0,0.0,0.0,0.03,1.0,0,0.03,last_price_fallback
2026-06-26,call,365.0,0.0,0.0,0.01,16.0,0,0.01,last_price_fallback
2026-06-26,call,370.0,0.0,0.0,0.01,26.0,0,0.01,last_price_fallback
2026-06-26,call,375.0,0.0,0.0,0.05,2.0,0,0.05,last_price_fallback
2026-06-26,call,380.0,0.0,0.0,0.04,14.0,0,0.04,last_price_fallback
2026-06-26,call,385.0,0.0,0.0,0.05,5.0,0,0.05,last_price_fallback
2026-06-26,call,390.0,0.0,0.0,0.01,18.0,0,0.01,last_price_fallback
2026-06-26,call,395.0,0.0,0.0,0.21,1.0,0,0.21,last_price_fallback
2026-06-26,call,400.0,0.0,0.0,0.01,5.0,0,0.01,last_price_fallback
2026-06-26,put,110.0,0.0,0.0,0.01,1000.0,0,0.01,last_price_fallback
2026-06-26,put,120.0,0.0,0.0,0.01,999.0,0,0.01,last_price_fallback
2026-06-26,put,125.0,0.0,0.0,0.01,,0,0.01,last_price_fallback
2026-06-26,put,130.0,0.0,0.0,0.01,1000.0,0,0.01,last_price_fallback
2026-06-26,put,135.0,0.0,0.0,0.05,1.0,0,0.05,last_price_fallback
2026-06-26,put,140.0,0.0,0.0,0.05,2.0,0,0.05,last_price_fallback
2026-06-26,put,150.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,165.0,0.0,0.0,0.01,10000.0,0,0.01,last_price_fallback
2026-06-26,put,170.0,0.0,0.0,0.01,20.0,0,0.01,last_price_fallback
2026-06-26,put,175.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,180.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,185.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,190.0,0.0,0.0,0.04,2.0,0,0.04,last_price_fallback
2026-06-26,put,195.0,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,200.0,0.0,0.0,0.02,2.0,0,0.02,last_price_fallback
2026-06-26,put,205.0,0.0,0.0,0.01,5.0,0,0.01,last_price_fallback
2026-06-26,put,210.0,0.0,0.0,0.02,40.0,0,0.02,last_price_fallback
2026-06-26,put,215.0,0.0,0.0,0.03,3.0,0,0.03,last_price_fallback
2026-06-26,put,220.0,0.0,0.0,0.01,81.0,0,0.01,last_price_fallback
2026-06-26,put,225.0,0.0,0.0,0.01,32.0,0,0.01,last_price_fallback
2026-06-26,put,230.0,0.0,0.0,0.01,51.0,0,0.01,last_price_fallback
2026-06-26,put,235.0,0.0,0.0,0.01,123.0,0,0.01,last_price_fallback
2026-06-26,put,240.0,0.0,0.0,0.05,5.0,0,0.05,last_price_fallback
2026-06-26,put,245.0,0.0,0.0,0.05,354.0,0,0.05,last_price_fallback
2026-06-26,put,250.0,0.0,0.0,0.01,23.0,0,0.01,last_price_fallback
2026-06-26,put,255.0,0.0,0.0,0.02,195.0,0,0.02,last_price_fallback
2026-06-26,put,257.5,0.0,0.0,0.01,1.0,0,0.01,last_price_fallback
2026-06-26,put,260.0,0.0,0.0,0.05,179.0,0,0.05,last_price_fallback
2026-06-26,put,262.5,0.0,0.0,0.06,108.0,0,0.06,last_price_fallback
2026-06-26,put,265.0,0.0,0.0,0.04,174.0,0,0.04,last_price_fallback
2026-06-26,put,267.5,0.0,0.0,0.05,342.0,0,0.05,last_price_fallback
2026-06-26,put,270.0,0.0,0.0,0.05,641.0,0,0.05,last_price_fallback
2026-06-26,put,272.5,0.0,0.0,0.07,13.0,0,0.07,last_price_fallback
2026-06-26,put,275.0,0.0,0.0,0.1,514.0,0,0.1,last_price_fallback
2026-06-26,put,277.5,0.0,0.0,0.15,1299.0,0,0.15,last_price_fallback
2026-06-26,put,280.0,0.0,0.0,0.19,1138.0,0,0.19,last_price_fallback
2026-06-26,put,282.5,0.0,0.0,0.3,372.0,0,0.3,last_price_fallback
2026-06-26,put,285.0,0.0,0.0,0.45,2381.0,0,0.45,last_price_fallback
2026-06-26,put,287.5,0.0,0.0,0.69,1589.0,0,0.69,last_price_fallback
2026-06-26,put,290.0,0.0,0.0,1.1,4635.0,0,1.1,last_price_fallback
2026-06-26,put,292.5,0.0,0.0,1.63,1839.0,0,1.63,last_price_fallback
2026-06-26,put,295.0,0.0,0.0,2.5,9114.0,0,2.5,last_price_fallback
2026-06-26,put,297.5,0.0,0.0,3.55,5365.0,0,3.55,last_price_fallback
2026-06-26,put,300.0,0.0,0.0,4.9,7252.0,0,4.9,last_price_fallback
2026-06-26,put,302.5,0.0,0.0,6.21,1085.0,0,6.21,last_price_fallback
2026-06-26,put,305.0,0.0,0.0,8.64,2344.0,0,8.64,last_price_fallback
2026-06-26,put,307.5,0.0,0.0,9.7,1714.0,0,9.7,last_price_fallback
2026-06-26,put,310.0,0.0,0.0,12.61,1450.0,0,12.61,last_price_fallback
2026-06-26,put,312.5,0.0,0.0,15.28,374.0,0,15.28,last_price_fallback
2026-06-26,put,315.0,0.0,0.0,15.87,263.0,0,15.87,last_price_fallback
2026-06-26,put,317.5,0.0,0.0,18.42,402.0,0,18.42,last_price_fallback
2026-06-26,put,320.0,0.0,0.0,21.6,337.0,0,21.6,last_price_fallback
2026-06-26,put,325.0,0.0,0.0,27.12,1.0,0,27.12,last_price_fallback
2026-06-26,put,330.0,0.0,0.0,28.15,1.0,0,28.15,last_price_fallback
2026-06-26,put,335.0,0.0,0.0,33.15,1.0,0,33.15,last_price_fallback
2026-06-26,put,340.0,0.0,0.0,50.0,200.0,0,50.0,last_price_fallback
2026-06-26,put,345.0,0.0,0.0,32.9,41.0,0,32.9,last_price_fallback
2026-06-26,put,350.0,0.0,0.0,40.7,2.0,0,40.7,last_price_fallback
